"True
Heading","compass
heading",30,164,,Corrected,Error
-60,6,-27.81548946,33.81548946,3.81548946,-60,0
-50,21,-23.95902724,44.95902724,14.95902724,-49,1
-40,37,-18.05440584,55.05440584,25.05440584,-38,2
-30,57,-8.771105887,65.77110589,35.77110589,-28,2
-20,76,1.047023797,74.9529762,44.9529762,-19,1
-10,96,11.23822569,84.76177431,54.76177431,-9,1
0,114,19.28364523,94.71635477,64.71635477,1,1
10,129,24.57457021,104.4254298,74.42542979,11,1
20,141,27.61514958,113.3848504,83.38485042,20,0
30,152,29.34442913,122.6555709,92.65557087,29,-1
40,163,29.99543086,133.0045691,103.0045691,40,0
50,173,29.63065084,143.3693492,113.3693492,50,0
60,181,28.68914488,152.3108551,122.3108551,59,-1
70,190,26.96382643,163.0361736,133.0361736,70,0
80,198,24.87113559,173.1288644,143.1288644,80,0
90,206,22.29435719,183.7056428,153.7056428,90,0
100,213,19.68178723,193.3182128,163.3182128,100,0
110,220,16.77580764,203.2241924,173.2241924,110,0
120,227,13.61973982,213.3802602,183.3802602,120,0
130,234,10.26063339,223.7393666,193.7393666,130,0
140,241,6.748564812,234.2514352,204.2514352,141,1
150,248,3.135890845,244.8641092,214.8641092,151,1
160,254,3.98038E-05,253.9999602,223.9999602,160,0
170,261,-3.656037722,264.6560377,234.6560377,171,1
180,268,-7.257612239,275.2576122,245.2576122,182,2
190,274,-10.26055858,284.2605586,254.2605586,191,1
200,281,-13.61966889,294.6196689,264.6196689,201,1
210,287,-16.33912543,303.3391254,273.3391254,210,0
220,294,-19.28358425,313.2835842,283.2835842,220,0
230,301,-21.94056973,322.9405697,292.9405697,229,-1
240,309,-24.57452455,333.5745245,303.5745245,240,0
250,316,-26.48839623,342.4883962,312.4883962,249,-1
260,325,-28.36553409,353.3655341,323.3655341,260,0
270,334,-29.54421953,363.5442195,333.5442195,270,0
280,343,-29.99542947,372.9954295,342.9954295,279,-1
290,354,-29.54424718,383.5442472,353.5442472,290,0
300,366,-27.8155491,393.8155491,363.8155491,300,0
310,381,,,,,
320,397,,,,,
330,417,,,,,
340,436,,,,,
350,456,,,,,
360,474,,,,,
